feature,importance
num__G2,0.788703831680178
num__absences,0.11426584702162727
cat__reason_home,0.01873345244807594
num__age,0.009113625659016475
num__G1,0.005407149505860384
num__famrel,0.005379230436509356
num__goout,0.00368819869890906
cat__guardian_mother,0.0036068443673869357
num__health,0.0035844709601402717
num__studytime,0.0031334821397265363
cat__reason_course,0.0028991669053444074
num__Walc,0.002584936305689038
cat__schoolsup_no,0.00236503346853531
cat__romantic_no,0.0022973816980396415
num__freetime,0.002137867956663758
cat__guardian_other,0.0018986165140741358
cat__schoolsup_yes,0.0017837199560740804
num__Fedu,0.0017758509840735432
cat__Mjob_teacher,0.0016158336711635083
cat__Fjob_other,0.001479051767542813
